CUS_ID,PSN_BIZR_YN,TYMD,SEX_SCN_NM
AMR9MOP756HN28V9,N,1990,여자
AL2E2HLDMN50FN9E,N,1955,남자
APW9ZIWDQQNYY8LK,N,1992,남자
AGBCIS57DPHRRP9X,N,1977,남자
A4W2GG6ZLMZ81DB3,N,1974,여자
A5TYZOSLUM37O1OS,N,1990,여자
ATHNS3F4766FKDW3,N,1981,여자
A8D7NHFKA3K83QH4,N,1965,여자
AYS39SCGIJAB9IDK,N,1988,남자
AVU7URP4LZWDQQJL,N,1980,남자
AJ20AF8WUEMJPH5V,N,1996,여자
A0G4BEZSV33U6T0B,N,1986,여자
AX0LJKRIF7ZIDXBX,N,1998,남자
AK4137SPJEPNX63F,N,1970,남자
AJUUZ64GZK3ZYI9Q,N,1954,여자
A7192YPHDBIN30MG,N,1968,남자
AIMXEUVZ5MZAHJIX,Y,1972,남자
ARO1U5YN0M1F136U,N,1984,남자
AJH5H5HJIWA7CRMH,N,1981,남자
AM92CCT2OM3K1YI0,N,1979,여자
APINRHFZ30T2VDLS,N,1965,남자
AFAAPERU6VGN27FN,Y,1968,남자
AI91J1ORQPIFBXQY,N,1987,남자
ALHYWTYTTOW66PZW,N,1964,남자
A3HC1D3J5BHYPLM4,N,1977,남자
AQGOTDG019CEF791,N,1973,남자
AKU72KSFGV93GOIF,N,1996,남자
A2JACPJMQ15FWS9N,N,1998,남자
AV3LJP4ZT02QA3UT,N,1976,여자
AGLKUTNZ6KI2JUH8,N,1976,남자
AFHUMP50R2N8U9ME,N,1981,남자
ACYMNUT83PFD65E6,N,1963,여자
ACEBUPFF4MW3TF4F,N,1971,남자
A2B566WC2LXUV0R3,N,1983,남자
ABC5DIXAOQ082G3Y,N,1979,여자
A8AFUMK2IHR996VH,N,1969,남자
AIQGR9MRQS63K7N9,N,1995,남자
AVLD0RHG29K3MEKD,N,1992,여자
AETF7SIO7TRFD02A,N,1992,남자
AUX3US1QMYR2U36T,N,1969,남자
AZ5J8EW2WU3M1R0U,N,1968,남자
ARA0DEWO57B5WABY,N,1981,남자
ABODDZU92Y4YK5MT,N,1981,남자
AVIXY5HRRB1BBFIP,N,1994,남자
AUEK8HMV13SW8KJ0,N,1979,남자
AQJO4AAD12ADZOSI,N,1991,남자
AK4HIDF61NXOF5JO,N,1973,남자
AIHBZ5MMTJS5RKWA,N,1999,남자
A5G6KB9NRKON839U,N,1983,남자
AZWIEAIMBM2DA839,N,1982,남자
APBHUI0PTB975J3F,N,1983,남자
AHMP27GA68W7THTE,N,1966,남자
AJD32I58S2583OYD,N,1994,남자
AX3XB5KQIAILJBBB,N,1973,남자
AE96EBQBSWIMUTR5,N,1991,남자
AT7A57CD8CO2YMDU,N,1970,남자
AHN29JJTZQ9GQR4W,N,1986,남자
APKQKOTVOJN3B50O,N,1984,남자
AKSFYR5EMQV3N0XC,N,1980,여자
A93S29QSH2D5QDEJ,N,1970,남자
A8ES577W6RNLOELM,N,1984,남자
A65SCQD2XIRYY5B6,N,1979,남자
APM0J0BVW33WOGHV,N,1976,남자
ACYNUPV4FC1ZCQBJ,N,1982,남자
ADLSS6MZ9IQ91HT7,N,1973,남자
A8FW5LOTARIRMD9B,N,1992,남자
AU9IWV3AGRD38OBJ,N,1990,남자
A3CU87L0KLAWDE5G,N,2000,남자
AYUJ0M55R9YLI4UX,N,1979,남자
A7XMLQY7EUX55VB1,N,1980,여자
AJ8BADQET3S2YCC1,Y,1980,남자
