,고객ID,Monetary,Recency_R,Frequency_F,Monetary_M,Class
0,A000O5LM55ZNYT7X,3594.887875913972,5,1,2,1
1,A002W7L4ZEYIH624,3594.887875913972,4,1,2,2
2,A0063H17IS0OELIO,3473.055488248122,2,1,1,4
3,A007E35OUXTJ3BRR,3594.887875913972,2,1,2,4
4,A007EWFPMLXHIDWC,3594.887875913972,5,1,2,1
5,A008UGCQHSONWYDJ,3544.3271767810024,2,1,1,4
6,A00AXO66OKGQAC8F,3594.887875913972,3,1,2,3
7,A00BD03LKJIH6LTU,6946.110976496244,1,4,4,5
8,A00BKTGNMZXXU9NB,3473.055488248122,1,1,1,5
9,A00E949YXDIP24UM,3594.887875913972,3,1,2,3
10,A00EIFH5MF1D3N68,3458.2679636021335,1,1,1,5
11,A00EKMHO59OQNRCX,3473.055488248122,1,1,1,5
12,A00F5Q1APLR3BCFB,3594.887875913972,4,1,2,2
13,A00FCCSDCNX73KZP,3594.887875913972,4,1,2,2
14,A00FF7U0QU7LK2E5,6909.157286279282,1,4,4,5
15,A00FOX3A1FV5WK5R,3594.887875913972,5,1,2,1
16,A00GV8O7VLCFB6FJ,7189.775751827944,3,4,4,3
17,A00JBKC02A722TDL,7189.775751827944,5,4,4,1
18,A00K9GWJY8MRAWNS,6909.157286279282,1,4,4,5
19,A00L9DL6ZCKRT6PA,7088.654353562005,2,4,4,4
20,A00OJSUG7UXKTXOM,6946.110976496244,1,4,4,5
21,A00P7EA1JZ3J95QD,3473.055488248122,1,1,1,5
22,A00SXHWJJXV8YQ9W,6946.110976496244,2,4,4,4
23,A00VAD0U0X3V8KKX,3458.2679636021335,1,1,1,5
24,A00YLUPB058Y0USL,3594.887875913972,4,1,2,2
25,A010K0QEXG7JPZEE,3594.887875913972,4,1,2,2
26,A0117WPH7MGU9D8N,7189.775751827944,3,4,4,3
27,A011MDMD3EUU3OYZ,3594.887875913972,3,1,2,3
28,A012QULQ67059PH1,7189.775751827944,5,4,4,1
29,A012Y34E3ID7QMWV,17974.43937956986,4,5,5,2
30,A0151VHBVJPQQ4L1,3544.3271767810024,2,1,1,4
31,A016BHPG0FZFTFMX,3544.3271767810024,2,1,1,4
32,A0190TNM3EZCH3VZ,3594.887875913972,2,1,2,4
33,A01B2QRU493MAQO9,3544.3271767810024,2,1,1,4
34,A01B6A1RZRTLQ0BE,3544.3271767810024,2,1,1,4
35,A01BBLYVVQMEIBXN,7088.654353562005,2,4,4,4
36,A01CM7RYX8Q3KFY5,14379.551503655888,5,5,5,1
37,A01D8B3BQ1MNJEW0,3594.887875913972,5,1,2,1
38,A01DCU3RT0D7SP8D,3458.2679636021335,1,1,1,5
39,A01F4PZTKEOI3WLQ,10784.663627741917,4,5,5,2
40,A01FK51MZ9N7LSA7,3594.887875913972,5,1,2,1
41,A01H8VDK0WFY3SAX,3594.887875913972,3,1,2,3
42,A01IYGC1FMXT80SX,3594.887875913972,3,1,2,3
43,A01L92CM86P4OHKL,3594.887875913972,4,1,2,2
44,A01M5CLOKITUVK6K,3594.887875913972,3,1,2,3
45,A01MAKH4FJNPDC87,3594.887875913972,3,1,2,3
46,A01MIFC7RD9PGKZY,3594.887875913972,5,1,2,1
47,A01MUBSNZTDMNLJ3,7189.775751827944,2,4,4,4
48,A01NT6UZGK1AKRST,3458.2679636021335,1,1,1,5
49,A01NVY76X3OTRJAI,7189.775751827944,4,4,4,2
50,A01OIQQEMO2VEEIS,3594.887875913972,4,1,2,2
51,A01P52TYWIXRQJ27,7189.775751827944,5,1,4,1
52,A01PB5VBOZU661OM,3544.3271767810024,2,1,1,4
53,A01Q9ZNZC15SMXCQ,10784.663627741917,2,5,5,4
54,A01QVGODA0N93SVK,3458.2679636021335,1,1,1,5
55,A01UWJ84D752B5DW,3594.887875913972,3,1,2,3
56,A01VM7FV4TTHGBWQ,3458.2679636021335,1,1,1,5
57,A01WB9H1JR4U91HZ,7088.654353562005,2,4,4,4
58,A01WNP09J1GCULG7,3594.887875913972,3,1,2,3
59,A01XLETAVVZUPINW,3473.055488248122,1,1,1,5
60,A01YKLPDCI9ATEPL,3594.887875913972,3,1,2,3
61,A01Z609BP41ZLTZO,3594.887875913972,5,1,2,1
62,A0206I996INAN3TM,3594.887875913972,3,1,2,3
63,A0207WVHXW0N4S8Q,3454.578643139641,1,1,1,5
64,A0211QEGUOWRRTLS,3594.887875913972,3,1,2,3
65,A02136XGLJ9SPYS7,3594.887875913972,3,1,2,3
66,A021FCMYXS7P3AQX,7189.775751827944,2,4,4,4
67,A022Z7M5OR32G8G6,7088.654353562005,2,4,4,4
68,A026QRI5Q6QG0ASX,7189.775751827944,4,4,4,2
69,A0287GUCUCSA6EFP,3594.887875913972,2,1,2,4
70,A02ACZDRQ7P6NROV,10784.663627741917,4,5,5,2
71,A02AMUGSKBKGKA1S,3594.887875913972,3,1,2,3
72,A02AT812UEYP1JRD,10632.981530343008,2,5,5,4
73,A02CH8PJ8Y5A2LA9,3594.887875913972,4,1,2,2
74,A02CLE86SO543EPE,7189.775751827944,5,4,4,1
75,A02DI6Y3RWK13E9H,7189.775751827944,3,4,4,3
76,A02DQUTBP8695535,10784.663627741917,5,5,5,1
77,A02DSBN3K9AQ662K,3594.887875913972,5,1,2,1
78,A02FDI66XGDK7UOD,14379.551503655888,3,5,5,3
79,A02HQR4K8DBVBRMO,7189.775751827944,3,4,4,3
80,A02HSMOV9RZ4V488,24810.290237467016,2,5,5,4
81,A02J5KIJGQYV93KO,7189.775751827944,5,4,4,1
82,A02JNX5AZEAFUKR1,3594.887875913972,4,1,2,2
83,A02LYZ54R0FOPS8B,3594.887875913972,3,1,2,3
84,A02M7SI6JJC01IQO,7189.775751827944,5,4,4,1
85,A02NXTMUN984NC10,3544.3271767810024,2,1,1,4
86,A02P117JGBQF8V2W,3458.2679636021335,1,1,1,5
87,A02QG5MQDMSL4Y7L,7189.775751827944,3,4,4,3
88,A02QTAQ5BBWEXDRR,3594.887875913972,3,1,2,3
89,A02R8KABX3EXRBTE,7189.775751827944,5,4,4,1
90,A02VCRDPTHP9MWYS,10784.663627741917,4,5,5,2
91,A02VHD0DZ9PSLKVS,3594.887875913972,4,1,2,2
92,A02VLQ6XLJZRQN7U,3594.887875913972,4,1,2,2
93,A02YGEXLE4RNTY0Q,7088.654353562005,2,4,4,4
94,A02ZJ1ZPER18E3WW,3544.3271767810024,2,1,1,4
95,A03099JQU1U1JJA2,3594.887875913972,5,1,2,1
96,A0313F65LI91ARIE,3594.887875913972,4,1,2,2
